chrBase	chr	base	strand	coverage	freqC	freqT
chr21.13960067	chr21	13960067	F	19	84.21	15.79
chr21.13960069	chr21	13960069	F	19	100.00	0.00
chr21.13960088	chr21	13960088	F	18	100.00	0.00
chr21.13960080	chr21	13960080	F	19	89.47	10.53
chr21.13960772	chr21	13960772	R	13	100.00	0.00
chr21.13960753	chr21	13960753	R	13	100.00	0.00
chr21.13960748	chr21	13960748	R	13	84.62	15.38
chr21.13960744	chr21	13960744	R	12	100.00	0.00
chr21.13961321	chr21	13961321	R	11	100.00	0.00
chr21.13961296	chr21	13961296	R	11	100.00	0.00
chr21.13974325	chr21	13974325	F	16	100.00	0.00
chr21.13974288	chr21	13974288	F	17	88.24	11.76
chr21.13974286	chr21	13974286	F	17	100.00	0.00
chr21.13974282	chr21	13974282	F	17	100.00	0.00
chr21.13989431	chr21	13989431	F	31	90.32	9.68
chr21.13989449	chr21	13989449	R	30	83.33	16.67
chr21.13989277	chr21	13989277	F	27	92.59	7.41
chr21.13989303	chr21	13989303	F	27	70.37	29.63
chr21.13989284	chr21	13989284	F	27	85.19	14.81
chr21.13989387	chr21	13989387	R	28	67.86	32.14
chr21.13989497	chr21	13989497	R	35	94.29	5.71
chr21.13989452	chr21	13989452	R	32	78.12	21.88
chr21.13989320	chr21	13989320	F	25	100.00	0.00
chr21.13989448	chr21	13989448	F	31	96.77	3.23
chr21.13989451	chr21	13989451	F	30	73.33	26.67
chr21.13989384	chr21	13989384	R	30	63.33	36.67
chr21.13989432	chr21	13989432	R	30	100.00	0.00
chr21.13989455	chr21	13989455	R	32	100.00	0.00
chr21.13989454	chr21	13989454	F	31	100.00	0.00
chr21.13989282	chr21	13989282	F	27	85.19	14.81
chr21.13990284	chr21	13990284	R	32	84.38	15.62
chr21.13990159	chr21	13990159	F	51	100.00	0.00
chr21.13990316	chr21	13990316	R	34	97.06	2.94
chr21.13990130	chr21	13990130	F	51	100.00	0.00
chr21.13990171	chr21	13990171	F	48	100.00	0.00
chr21.13990302	chr21	13990302	R	33	78.79	21.21
chr21.13990972	chr21	13990972	F	33	30.30	69.70
chr21.13990904	chr21	13990904	R	14	35.71	64.29
chr21.13990916	chr21	13990916	R	14	50.00	50.00
chr21.13990954	chr21	13990954	F	35	48.57	51.43
chr21.13990966	chr21	13990966	F	35	48.57	51.43
chr21.13991220	chr21	13991220	R	47	44.68	55.32
chr21.13991046	chr21	13991046	R	39	10.26	89.74
chr21.13990852	chr21	13990852	R	16	62.50	37.50
chr21.13991112	chr21	13991112	F	22	63.64	36.36
chr21.13991062	chr21	13991062	R	40	57.50	40.00
chr21.13991040	chr21	13991040	R	39	35.90	64.10
chr21.13991248	chr21	13991248	R	47	78.72	21.28
chr21.13990884	chr21	13990884	R	13	53.85	46.15
chr21.13991069	chr21	13991069	R	40	62.50	37.50
chr21.13990906	chr21	13990906	R	14	28.57	71.43
chr21.13991068	chr21	13991068	F	25	72.00	28.00
chr21.13991229	chr21	13991229	R	47	65.96	34.04
chr21.13990993	chr21	13990993	F	29	65.52	34.48
chr21.13990874	chr21	13990874	R	16	93.75	6.25
chr21.13991085	chr21	13991085	F	25	52.00	48.00
chr21.13990947	chr21	13990947	F	35	77.14	22.86
chr21.13991556	chr21	13991556	F	12	25.00	75.00
chr21.13991538	chr21	13991538	F	12	75.00	25.00
chr21.13991545	chr21	13991545	F	13	46.15	53.85
chr21.13991572	chr21	13991572	F	12	50.00	50.00
chr21.13999363	chr21	13999363	R	20	100.00	0.00
chr21.13999517	chr21	13999517	F	15	40.00	60.00
chr21.13999347	chr21	13999347	F	11	63.64	36.36
chr21.13999569	chr21	13999569	R	25	68.00	32.00
chr21.13999168	chr21	13999168	R	28	82.14	17.86
chr21.13999468	chr21	13999468	R	17	52.94	47.06
chr21.13999401	chr21	13999401	F	17	47.06	52.94
chr21.13999509	chr21	13999509	F	13	30.77	69.23
chr21.13999397	chr21	13999397	F	17	100.00	0.00
chr21.13999457	chr21	13999457	R	14	28.57	71.43
chr21.13999129	chr21	13999129	R	26	30.77	69.23
chr21.13999082	chr21	13999082	F	15	40.00	60.00
chr21.13999107	chr21	13999107	F	15	40.00	60.00
chr21.13999212	chr21	13999212	F	23	52.17	47.83
chr21.13999276	chr21	13999276	R	24	4.17	95.83
chr21.13999263	chr21	13999263	R	21	52.38	47.62
chr21.13999305	chr21	13999305	R	28	42.86	57.14
chr21.13999541	chr21	13999541	F	29	48.28	51.72
chr21.13999348	chr21	13999348	R	20	35.00	65.00
chr21.13999011	chr21	13999011	F	17	64.71	35.29
chr21.13999477	chr21	13999477	F	36	41.67	58.33
chr21.13999574	chr21	13999574	F	16	50.00	50.00
chr21.13999089	chr21	13999089	F	15	46.67	53.33
chr21.13999362	chr21	13999362	F	34	29.41	70.59
chr21.13999610	chr21	13999610	R	27	96.30	3.70
chr21.13999206	chr21	13999206	F	23	69.57	30.43
chr21.13999132	chr21	13999132	R	26	11.54	88.46
chr21.13999588	chr21	13999588	R	27	92.59	7.41
chr21.13999059	chr21	13999059	R	29	44.83	55.17
chr21.13999493	chr21	13999493	F	36	22.22	77.78
chr21.13999249	chr21	13999249	R	20	15.00	85.00
chr21.13998967	chr21	13998967	F	17	47.06	52.94
chr21.13999288	chr21	13999288	R	24	25.00	75.00
chr21.13999451	chr21	13999451	F	35	45.71	54.29
chr21.13999467	chr21	13999467	F	36	36.11	63.89
chr21.13999561	chr21	13999561	F	16	43.75	56.25
chr21.13999095	chr21	13999095	F	15	80.00	20.00
chr21.13999478	chr21	13999478	R	19	78.95	21.05
chr21.13998987	chr21	13998987	F	17	17.65	82.35
chr21.13999551	chr21	13999551	F	16	75.00	25.00
chr21.13999449	chr21	13999449	F	36	25.00	75.00
chr21.13999562	chr21	13999562	R	24	58.33	41.67
chr21.13999304	chr21	13999304	F	10	60.00	40.00
chr21.13999210	chr21	13999210	F	23	47.83	52.17
chr21.13999476	chr21	13999476	R	19	42.11	57.89
chr21.13999150	chr21	13999150	R	28	21.43	78.57
chr21.13999247	chr21	13999247	R	19	5.26	94.74
chr21.13999475	chr21	13999475	F	36	25.00	75.00
chr21.13999239	chr21	13999239	R	21	4.76	95.24
chr21.13999314	chr21	13999314	R	47	40.43	59.57
chr21.13999262	chr21	13999262	F	16	50.00	50.00
chr21.13999404	chr21	13999404	F	16	43.75	56.25
chr21.13999114	chr21	13999114	F	15	46.67	53.33
chr21.13999031	chr21	13999031	R	28	28.57	71.43
chr21.13999587	chr21	13999587	F	15	93.33	6.67
chr21.13999252	chr21	13999252	R	21	66.67	33.33
chr21.13999343	chr21	13999343	F	26	15.38	84.62
chr21.13999277	chr21	13999277	F	15	40.00	60.00
chr21.13999192	chr21	13999192	F	23	86.96	13.04
chr21.13999568	chr21	13999568	F	16	62.50	37.50
chr21.13999295	chr21	13999295	R	28	64.29	35.71
chr21.13999494	chr21	13999494	R	19	63.16	36.84
chr21.13999041	chr21	13999041	R	29	41.38	58.62
chr21.13999142	chr21	13999142	R	28	7.14	92.86
chr21.13999547	chr21	13999547	F	16	50.00	50.00
chr21.13999237	chr21	13999237	R	21	76.19	23.81
chr21.13999299	chr21	13999299	F	16	81.25	18.75
chr21.13999012	chr21	13999012	R	26	23.08	76.92
chr21.13999458	chr21	13999458	F	35	28.57	71.43
chr21.13999313	chr21	13999313	F	30	93.33	6.67
chr21.13999528	chr21	13999528	F	12	25.00	75.00
chr21.13999567	chr21	13999567	R	25	88.00	12.00
chr21.13999199	chr21	13999199	F	23	86.96	13.04
chr21.13999300	chr21	13999300	R	28	75.00	25.00
chr21.13999533	chr21	13999533	F	12	33.33	66.67
chr21.13999415	chr21	13999415	F	16	62.50	37.50
chr21.13999310	chr21	13999310	R	28	57.14	42.86
chr21.13999566	chr21	13999566	F	15	33.33	66.67
chr21.13999459	chr21	13999459	R	17	41.18	58.82
chr21.13999103	chr21	13999103	F	15	80.00	20.00
chr21.13999344	chr21	13999344	R	20	90.00	10.00
chr21.13999039	chr21	13999039	R	29	24.14	75.86
chr21.13999309	chr21	13999309	F	12	100.00	0.00
chr21.13999256	chr21	13999256	R	20	50.00	50.00
chr21.13999287	chr21	13999287	F	16	25.00	75.00
chr21.13999575	chr21	13999575	R	27	81.48	18.52
chr21.13999456	chr21	13999456	F	35	11.43	88.57
chr21.13999278	chr21	13999278	R	25	8.00	92.00
chr21.13999005	chr21	13999005	F	17	41.18	58.82
chr21.13999294	chr21	13999294	F	16	93.75	6.25
chr21.13999023	chr21	13999023	R	29	48.28	51.72
chr21.13999446	chr21	13999446	F	40	45.00	55.00
chr21.13999275	chr21	13999275	F	16	37.50	62.50
chr21.14000056	chr21	14000056	F	25	100.00	0.00
chr21.14000092	chr21	14000092	F	25	92.00	8.00
chr21.13999971	chr21	13999971	F	24	62.50	37.50
chr21.13999937	chr21	13999937	F	25	100.00	0.00
chr21.14017672	chr21	14017672	R	16	12.50	87.50
chr21.14018050	chr21	14018050	F	15	13.33	86.67
chr21.14017690	chr21	14017690	R	16	31.25	68.75
chr21.14017772	chr21	14017772	R	19	42.11	57.89
chr21.14017821	chr21	14017821	F	12	66.67	33.33
chr21.14017684	chr21	14017684	R	15	40.00	60.00
chr21.14018224	chr21	14018224	F	25	92.00	8.00
chr21.14017999	chr21	14017999	R	10	70.00	30.00
chr21.14017778	chr21	14017778	R	19	52.63	47.37
chr21.14017929	chr21	14017929	R	20	25.00	75.00
chr21.14017781	chr21	14017781	R	19	78.95	21.05
chr21.14017696	chr21	14017696	R	16	31.25	68.75
chr21.14017676	chr21	14017676	R	16	25.00	75.00
chr21.14017831	chr21	14017831	F	11	9.09	90.91
chr21.14017822	chr21	14017822	R	21	19.05	80.95
chr21.14017703	chr21	14017703	R	16	12.50	87.50
chr21.14017784	chr21	14017784	R	19	31.58	68.42
chr21.14017832	chr21	14017832	R	21	19.05	80.95
chr21.14018268	chr21	14018268	F	23	52.17	47.83
chr21.14017945	chr21	14017945	R	20	75.00	25.00
chr21.14017835	chr21	14017835	R	21	38.10	61.90
chr21.14018261	chr21	14018261	F	23	21.74	78.26
chr21.14018024	chr21	14018024	R	10	10.00	90.00
chr21.14017936	chr21	14017936	R	20	30.00	70.00
chr21.14017700	chr21	14017700	R	16	56.25	43.75
chr21.14017795	chr21	14017795	F	12	66.67	33.33
chr21.14018028	chr21	14018028	R	10	60.00	40.00
chr21.14018053	chr21	14018053	F	15	33.33	66.67
chr21.14017688	chr21	14017688	R	16	37.50	62.50
chr21.14018056	chr21	14018056	F	15	46.67	53.33
chr21.14018046	chr21	14018046	F	14	14.29	85.71
chr21.14017707	chr21	14017707	R	16	37.50	62.50
chr21.14017796	chr21	14017796	R	19	89.47	10.53
chr21.14018027	chr21	14018027	F	15	80.00	20.00
chr21.14017680	chr21	14017680	R	16	25.00	75.00
chr21.14017775	chr21	14017775	R	19	57.89	42.11
chr21.14020269	chr21	14020269	R	10	80.00	20.00
chr21.14024381	chr21	14024381	F	11	100.00	0.00
chr21.14057234	chr21	14057234	F	44	95.45	4.55
chr21.14057394	chr21	14057394	F	25	100.00	0.00
chr21.14057832	chr21	14057832	R	19	100.00	0.00
chr21.14057829	chr21	14057829	R	19	100.00	0.00
chr21.14057861	chr21	14057861	R	19	100.00	0.00
chr21.14057932	chr21	14057932	R	30	100.00	0.00
chr21.14057847	chr21	14057847	R	19	100.00	0.00
chr21.14057892	chr21	14057892	R	27	96.30	3.70
chr21.14059879	chr21	14059879	F	34	100.00	0.00
chr21.14059887	chr21	14059887	F	34	100.00	0.00
chr21.14071286	chr21	14071286	F	21	95.24	4.76
chr21.14071266	chr21	14071266	F	22	100.00	0.00
chr21.14087127	chr21	14087127	F	36	83.33	16.67
chr21.14087290	chr21	14087290	F	27	100.00	0.00
chr21.14087291	chr21	14087291	R	21	95.24	4.76
chr21.14087252	chr21	14087252	R	20	0.00	100.00
chr21.14087299	chr21	14087299	R	21	95.24	4.76
chr21.14087251	chr21	14087251	F	30	100.00	0.00
chr21.14087298	chr21	14087298	F	26	0.00	100.00
chr21.14087124	chr21	14087124	F	36	100.00	0.00
chr21.14120949	chr21	14120949	F	56	82.14	17.86
chr21.14120864	chr21	14120864	F	28	92.86	7.14
chr21.14120848	chr21	14120848	F	28	82.14	17.86
chr21.14120991	chr21	14120991	F	51	84.31	15.69
chr21.14120874	chr21	14120874	F	28	100.00	0.00
chr21.14120854	chr21	14120854	F	28	78.57	21.43
chr21.14120869	chr21	14120869	F	28	100.00	0.00
chr21.14121409	chr21	14121409	F	14	85.71	14.29
chr21.14121411	chr21	14121411	F	14	85.71	14.29
chr21.14121571	chr21	14121571	R	43	100.00	0.00
chr21.14121388	chr21	14121388	F	14	100.00	0.00
chr21.14121557	chr21	14121557	R	43	100.00	0.00
chr21.14121428	chr21	14121428	F	14	85.71	14.29
chr21.14121754	chr21	14121754	R	37	100.00	0.00
chr21.14121762	chr21	14121762	R	37	100.00	0.00
chr21.14121733	chr21	14121733	R	37	70.27	29.73
chr21.14122053	chr21	14122053	F	45	91.11	8.89
chr21.14122043	chr21	14122043	F	47	100.00	0.00
chr21.14122011	chr21	14122011	R	10	100.00	0.00
chr21.14121987	chr21	14121987	R	10	100.00	0.00
chr21.14121978	chr21	14121978	R	10	100.00	0.00
chr21.14122048	chr21	14122048	F	48	93.75	6.25
chr21.14122010	chr21	14122010	F	49	100.00	0.00
chr21.14138059	chr21	14138059	F	11	90.91	9.09
chr21.14138023	chr21	14138023	F	14	92.86	7.14
chr21.14138285	chr21	14138285	R	13	100.00	0.00
chr21.14138262	chr21	14138262	R	13	61.54	38.46
chr21.14143530	chr21	14143530	F	23	100.00	0.00
chr21.14143619	chr21	14143619	F	10	50.00	50.00
chr21.14229198	chr21	14229198	R	15	100.00	0.00
chr21.14229385	chr21	14229385	F	12	100.00	0.00
chr21.14229197	chr21	14229197	F	12	91.67	8.33
chr21.14229490	chr21	14229490	R	26	96.15	3.85
chr21.14229499	chr21	14229499	R	26	100.00	0.00
chr21.14229308	chr21	14229308	R	25	92.00	8.00
chr21.14229434	chr21	14229434	F	12	100.00	0.00
chr21.14229209	chr21	14229209	R	16	81.25	18.75
chr21.14229238	chr21	14229238	R	17	100.00	0.00
chr21.14229420	chr21	14229420	F	12	100.00	0.00
chr21.14229458	chr21	14229458	R	26	100.00	0.00
chr21.14229161	chr21	14229161	F	13	92.31	7.69
chr21.14229162	chr21	14229162	R	11	100.00	0.00
chr21.14229171	chr21	14229171	F	13	30.77	69.23
chr21.14229349	chr21	14229349	R	28	100.00	0.00
chr21.14229195	chr21	14229195	R	15	100.00	0.00
chr21.14229227	chr21	14229227	R	17	0.00	100.00
chr21.14229194	chr21	14229194	F	13	100.00	0.00
chr21.14230293	chr21	14230293	R	21	100.00	0.00
chr21.14230748	chr21	14230748	R	21	100.00	0.00
chr21.14230795	chr21	14230795	R	10	80.00	20.00
chr21.14230284	chr21	14230284	R	21	95.24	4.76
chr21.14230660	chr21	14230660	R	49	100.00	0.00
chr21.14230376	chr21	14230376	F	12	8.33	91.67
chr21.14230554	chr21	14230554	F	11	100.00	0.00
chr21.14230716	chr21	14230716	R	17	100.00	0.00
chr21.14230669	chr21	14230669	R	50	100.00	0.00
chr21.14230216	chr21	14230216	R	30	100.00	0.00
chr21.14229948	chr21	14229948	R	29	82.76	17.24
chr21.14229946	chr21	14229946	R	29	100.00	0.00
chr21.14230784	chr21	14230784	F	12	91.67	8.33
chr21.14230706	chr21	14230706	R	51	100.00	0.00
chr21.14230136	chr21	14230136	R	21	76.19	23.81
chr21.14230366	chr21	14230366	F	14	92.86	7.14
chr21.14230065	chr21	14230065	F	21	95.24	4.76
chr21.14229992	chr21	14229992	R	29	93.10	6.90
chr21.14230744	chr21	14230744	R	21	100.00	0.00
chr21.14230812	chr21	14230812	F	11	100.00	0.00
chr21.14230824	chr21	14230824	R	10	100.00	0.00
chr21.14230737	chr21	14230737	R	20	100.00	0.00
chr21.14230187	chr21	14230187	R	27	85.19	14.81
chr21.14230075	chr21	14230075	F	21	100.00	0.00
chr21.14230140	chr21	14230140	R	21	100.00	0.00
chr21.14230665	chr21	14230665	R	50	98.00	2.00
chr21.14230794	chr21	14230794	F	12	91.67	8.33
chr21.14230747	chr21	14230747	F	18	88.89	11.11
chr21.14230813	chr21	14230813	R	10	100.00	0.00
chr21.14275564	chr21	14275564	R	32	93.75	6.25
chr21.14275582	chr21	14275582	R	32	100.00	0.00
chr21.14275419	chr21	14275419	F	11	72.73	27.27
chr21.14275446	chr21	14275446	F	11	100.00	0.00
chr21.14280217	chr21	14280217	R	10	100.00	0.00
chr21.14280366	chr21	14280366	R	47	100.00	0.00
chr21.14281495	chr21	14281495	R	48	97.92	2.08
chr21.14302266	chr21	14302266	F	18	100.00	0.00
chr21.14302317	chr21	14302317	R	17	100.00	0.00
chr21.14302775	chr21	14302775	R	12	66.67	33.33
chr21.14303083	chr21	14303083	F	10	100.00	0.00
chr21.14303048	chr21	14303048	F	10	100.00	0.00
chr21.14303159	chr21	14303159	F	15	100.00	0.00
chr21.14303155	chr21	14303155	F	15	100.00	0.00
chr21.14303914	chr21	14303914	F	12	100.00	0.00
chr21.14303925	chr21	14303925	F	12	91.67	8.33
chr21.14303898	chr21	14303898	F	11	100.00	0.00
chr21.14305244	chr21	14305244	F	26	96.15	3.85
chr21.14305410	chr21	14305410	R	10	100.00	0.00
chr21.14305245	chr21	14305245	R	11	100.00	0.00
chr21.14305311	chr21	14305311	R	19	100.00	0.00
chr21.14305403	chr21	14305403	R	10	100.00	0.00
chr21.14305155	chr21	14305155	F	31	83.87	16.13
chr21.14305156	chr21	14305156	R	12	91.67	8.33
chr21.14305115	chr21	14305115	R	12	100.00	0.00
chr21.14305310	chr21	14305310	F	15	100.00	0.00
chr21.14305321	chr21	14305321	F	15	86.67	13.33
chr21.14306497	chr21	14306497	R	18	100.00	0.00
chr21.14306356	chr21	14306356	F	108	97.22	2.78
chr21.14306383	chr21	14306383	F	104	96.15	3.85
chr21.14306363	chr21	14306363	F	107	100.00	0.00
chr21.14306754	chr21	14306754	R	29	100.00	0.00
chr21.14306746	chr21	14306746	R	28	89.29	10.71
chr21.14307455	chr21	14307455	R	20	100.00	0.00
chr21.14308972	chr21	14308972	R	21	100.00	0.00
chr21.14308968	chr21	14308968	R	21	95.24	4.76
chr21.14308928	chr21	14308928	R	21	95.24	4.76
chr21.14321134	chr21	14321134	R	27	100.00	0.00
chr21.14321118	chr21	14321118	R	27	92.59	7.41
chr21.14321017	chr21	14321017	F	37	97.30	2.70
chr21.14321686	chr21	14321686	F	21	0.00	100.00
chr21.14321720	chr21	14321720	F	21	0.00	100.00
chr21.14321876	chr21	14321876	R	44	0.00	100.00
chr21.14321622	chr21	14321622	F	10	0.00	100.00
chr21.14321721	chr21	14321721	R	15	0.00	100.00
chr21.14321610	chr21	14321610	F	10	0.00	100.00
chr21.14321696	chr21	14321696	F	21	0.00	100.00
chr21.14321718	chr21	14321718	R	15	20.00	80.00
chr21.14321842	chr21	14321842	F	20	0.00	100.00
chr21.14321914	chr21	14321914	R	45	0.00	100.00
chr21.14321687	chr21	14321687	R	45	0.00	100.00
chr21.14321620	chr21	14321620	F	10	0.00	100.00
chr21.14321855	chr21	14321855	F	19	0.00	100.00
chr21.14321717	chr21	14321717	F	21	0.00	100.00
chr21.14321651	chr21	14321651	R	30	0.00	100.00
chr21.14321875	chr21	14321875	F	17	0.00	100.00
chr21.14321697	chr21	14321697	R	15	0.00	100.00
chr21.14321650	chr21	14321650	F	10	0.00	100.00
chr21.14321880	chr21	14321880	F	19	0.00	100.00
chr21.14321861	chr21	14321861	F	20	10.00	90.00
chr21.14321881	chr21	14321881	R	44	0.00	100.00
chr21.14348810	chr21	14348810	F	29	100.00	0.00
chr21.14348893	chr21	14348893	R	32	100.00	0.00
chr21.14348846	chr21	14348846	R	31	100.00	0.00
chr21.14348848	chr21	14348848	F	29	100.00	0.00
chr21.14348845	chr21	14348845	F	29	82.76	17.24
chr21.14348849	chr21	14348849	R	31	83.87	16.13
chr21.14350317	chr21	14350317	F	22	100.00	0.00
chr21.14350562	chr21	14350562	R	14	100.00	0.00
chr21.14352384	chr21	14352384	F	55	100.00	0.00
chr21.14352592	chr21	14352592	R	16	100.00	0.00
chr21.14352556	chr21	14352556	R	14	0.00	100.00
chr21.14356768	chr21	14356768	F	14	100.00	0.00
chr21.14356777	chr21	14356777	F	14	100.00	0.00
chr21.14356801	chr21	14356801	F	13	100.00	0.00
chr21.14358203	chr21	14358203	R	29	100.00	0.00
chr21.14358284	chr21	14358284	R	29	82.76	17.24
chr21.14358178	chr21	14358178	F	25	28.00	72.00
chr21.14357962	chr21	14357962	F	56	91.07	8.93
chr21.14358078	chr21	14358078	R	36	100.00	0.00
chr21.14357942	chr21	14357942	F	64	90.62	9.38
chr21.14358155	chr21	14358155	R	18	94.44	5.56
chr21.14358093	chr21	14358093	R	22	100.00	0.00
chr21.14358131	chr21	14358131	F	25	100.00	0.00
chr21.14358092	chr21	14358092	F	24	75.00	25.00
chr21.14358090	chr21	14358090	F	24	75.00	25.00
chr21.14358146	chr21	14358146	F	25	96.00	4.00
chr21.14357926	chr21	14357926	F	64	100.00	0.00
chr21.14358091	chr21	14358091	R	22	100.00	0.00
chr21.14358181	chr21	14358181	R	27	92.59	7.41
chr21.14358077	chr21	14358077	F	24	79.17	20.83
chr21.14358314	chr21	14358314	R	30	96.67	3.33
chr21.14357956	chr21	14357956	F	50	100.00	0.00
chr21.14358196	chr21	14358196	R	29	93.10	6.90
chr21.14358117	chr21	14358117	R	24	100.00	0.00
chr21.14358097	chr21	14358097	R	22	100.00	0.00
chr21.14358179	chr21	14358179	R	25	0.00	100.00
chr21.14358143	chr21	14358143	F	25	100.00	0.00
chr21.14358186	chr21	14358186	R	28	89.29	10.71
chr21.14358134	chr21	14358134	F	25	100.00	0.00
chr21.14358180	chr21	14358180	F	25	96.00	0.00
chr21.14358154	chr21	14358154	F	25	96.00	4.00
chr21.14358047	chr21	14358047	R	35	94.29	5.71
chr21.14358096	chr21	14358096	F	24	79.17	20.83
chr21.14358291	chr21	14358291	R	30	96.67	3.33
chr21.14358132	chr21	14358132	R	23	95.65	4.35
chr21.14358116	chr21	14358116	F	24	62.50	37.50
chr21.14357945	chr21	14357945	F	63	100.00	0.00
chr21.14358042	chr21	14358042	R	35	85.71	14.29
chr21.14358275	chr21	14358275	R	28	96.43	3.57
chr21.14358635	chr21	14358635	F	80	92.50	7.50
chr21.14358738	chr21	14358738	R	60	91.67	8.33
chr21.14358585	chr21	14358585	R	10	70.00	30.00
chr21.14358700	chr21	14358700	R	57	100.00	0.00
chr21.14358737	chr21	14358737	F	10	100.00	0.00
chr21.14358487	chr21	14358487	F	32	100.00	0.00
chr21.14358577	chr21	14358577	R	10	100.00	0.00
chr21.14358534	chr21	14358534	F	32	100.00	0.00
chr21.14358651	chr21	14358651	F	72	100.00	0.00
chr21.14358528	chr21	14358528	F	32	96.88	3.12
chr21.14358760	chr21	14358760	F	10	100.00	0.00
chr21.14358604	chr21	14358604	F	84	100.00	0.00
chr21.14358612	chr21	14358612	F	83	0.00	100.00
chr21.14358592	chr21	14358592	R	10	100.00	0.00
chr21.14358648	chr21	14358648	F	75	96.00	4.00
chr21.14358725	chr21	14358725	R	59	93.22	6.78
chr21.14360174	chr21	14360174	R	12	83.33	16.67
chr21.14360181	chr21	14360181	R	13	92.31	7.69
chr21.14364856	chr21	14364856	R	18	83.33	16.67
chr21.14364849	chr21	14364849	F	14	100.00	0.00
chr21.14364862	chr21	14364862	R	19	100.00	0.00
chr21.14364855	chr21	14364855	F	14	92.86	7.14
chr21.14364879	chr21	14364879	F	64	100.00	0.00
chr21.14364850	chr21	14364850	R	16	100.00	0.00
chr21.14365059	chr21	14365059	F	11	81.82	18.18
chr21.14364917	chr21	14364917	F	56	89.29	10.71
chr21.14365030	chr21	14365030	F	12	100.00	0.00
chr21.14364981	chr21	14364981	R	21	100.00	0.00
chr21.14364882	chr21	14364882	F	63	100.00	0.00
chr21.14365015	chr21	14365015	R	23	100.00	0.00
chr21.14364979	chr21	14364979	R	19	94.74	5.26
chr21.14365019	chr21	14365019	R	23	100.00	0.00
chr21.14364880	chr21	14364880	R	19	100.00	0.00
chr21.14365025	chr21	14365025	R	23	86.96	13.04
chr21.14364861	chr21	14364861	F	14	100.00	0.00
chr21.14364995	chr21	14364995	R	21	90.48	9.52
chr21.14364836	chr21	14364836	F	14	100.00	0.00
chr21.14364896	chr21	14364896	F	64	100.00	0.00
chr21.14365077	chr21	14365077	F	11	100.00	0.00
chr21.14364894	chr21	14364894	F	64	100.00	0.00
chr21.14365296	chr21	14365296	F	18	55.56	44.44
chr21.14365260	chr21	14365260	R	28	100.00	0.00
chr21.14365278	chr21	14365278	F	19	94.74	5.26
chr21.14365259	chr21	14365259	F	19	100.00	0.00
chr21.14365777	chr21	14365777	R	37	94.59	5.41
chr21.14365671	chr21	14365671	F	29	100.00	0.00
chr21.14365648	chr21	14365648	F	29	100.00	0.00
chr21.14365748	chr21	14365748	R	35	100.00	0.00
chr21.14365755	chr21	14365755	R	36	83.33	16.67
chr21.14365683	chr21	14365683	F	27	81.48	18.52
chr21.14365696	chr21	14365696	F	26	100.00	0.00
chr21.14365688	chr21	14365688	F	27	88.89	11.11
chr21.14365791	chr21	14365791	R	37	89.19	10.81
chr21.14365665	chr21	14365665	F	29	100.00	0.00
chr21.14366493	chr21	14366493	R	15	100.00	0.00
chr21.14366625	chr21	14366625	F	25	100.00	0.00
chr21.14366595	chr21	14366595	F	25	100.00	0.00
chr21.14366245	chr21	14366245	R	74	83.78	16.22
chr21.14366655	chr21	14366655	R	18	94.44	5.56
chr21.14366211	chr21	14366211	R	69	100.00	0.00
chr21.14366663	chr21	14366663	R	18	100.00	0.00
chr21.14366108	chr21	14366108	F	12	100.00	0.00
chr21.14366120	chr21	14366120	F	24	100.00	0.00
chr21.14366626	chr21	14366626	R	18	77.78	22.22
chr21.14366497	chr21	14366497	R	15	100.00	0.00
chr21.14366096	chr21	14366096	F	14	100.00	0.00
chr21.14366121	chr21	14366121	R	16	100.00	0.00
chr21.14366513	chr21	14366513	R	15	100.00	0.00
chr21.14366605	chr21	14366605	F	25	100.00	0.00
chr21.14366580	chr21	14366580	F	26	100.00	0.00
chr21.14366254	chr21	14366254	R	74	100.00	0.00
chr21.14366097	chr21	14366097	R	17	94.12	5.88
chr21.14366109	chr21	14366109	R	17	100.00	0.00
chr21.14366581	chr21	14366581	R	22	100.00	0.00
chr21.14366530	chr21	14366530	F	12	91.67	8.33
chr21.14366216	chr21	14366216	R	69	97.10	2.90
chr21.14366658	chr21	14366658	R	18	100.00	0.00
chr21.14366063	chr21	14366063	F	14	100.00	0.00
chr21.14366531	chr21	14366531	R	15	100.00	0.00
chr21.14366612	chr21	14366612	F	25	96.00	4.00
chr21.14367325	chr21	14367325	F	32	65.62	34.38
chr21.14367414	chr21	14367414	R	65	92.31	7.69
chr21.14367175	chr21	14367175	F	18	100.00	0.00
chr21.14367092	chr21	14367092	F	13	100.00	0.00
chr21.14367357	chr21	14367357	F	18	100.00	0.00
chr21.14367459	chr21	14367459	R	79	100.00	0.00
chr21.14367099	chr21	14367099	F	12	100.00	0.00
chr21.14367701	chr21	14367701	F	18	100.00	0.00
chr21.14367534	chr21	14367534	R	22	100.00	0.00
chr21.14367015	chr21	14367015	R	24	95.83	4.17
chr21.14367279	chr21	14367279	R	36	44.44	55.56
chr21.14366940	chr21	14366940	R	20	95.00	5.00
chr21.14367014	chr21	14367014	F	16	75.00	25.00
chr21.14367894	chr21	14367894	R	40	100.00	0.00
chr21.14367497	chr21	14367497	F	18	100.00	0.00
chr21.14366973	chr21	14366973	R	20	95.00	5.00
chr21.14367628	chr21	14367628	R	112	100.00	0.00
